perturbation,n_runs,mean__macro_avg,std__macro_avg,mean__yesno_acc,std__yesno_acc,mean__factoid_f1,std__factoid_f1,mean__list_f1,std__list_f1,mean__summary_rougeL,std__summary_rougeL
shuffle_snippets,2,-0.0384677587318255,0.0034914954305708614,0.0,0.0,-0.0123290673103696,0.0037116878073801046,-0.01249999999999995,0.01767766952966362,-0.12904196761693235,7.850462293418876e-17
lexical_noise_medium,1,-0.0294752278170489,,0.0,,0.0066982993356832,,-0.0523809523809523,,-0.0722182582229266,
irrelevant_noise_heavy,3,-0.02037404440097657,0.03011165495874358,0.0,0.0,0.0028432670557283664,0.021517477736334705,-0.08968253968253966,0.0728074579004509,0.005343095022904966,0.027050332584815397
lexical_noise,2,-0.0081349206349206,0.006547285010986509,0.0,0.0,0.0,0.0,-0.0338624338624338,0.02618914004394618,0.0013227513227512498,7.068499280971232e-17
lexical_noise_heavy,3,-0.0047692265272715655,0.031847114993818794,0.0,0.0,0.006080770293231567,0.023723911436866377,0.0011904761904762001,0.006628290908130933,-0.026348152592794133,0.10288701976267284
irrelevant_noise,2,-0.0028121130532438496,0.00384502872712328,0.0,0.0,-0.0303030303030303,0.0,0.00873015873015865,0.007856742013183853,0.010324419359896,0.007523372895309333
clean,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contradiction,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
